127.0.0.1 - - [18/Jun/2017:01:03:02 +0800] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:04 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:04 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:04 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:04 +0800] "GET /BookStore/image/mmm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:04 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:04 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:13 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:13 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:13 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:13 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:13 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:13 +0800] "GET /BookStore/image/mmm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:26 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:26 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:27 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:27 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:27 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:27 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:30 +0800] "GET /BookStore/Home_page/BookAdvice_detail.jsp?thisbookname=%E5%9F%8E%E5%8D%97%E6%97%A7%E4%BA%8B HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:32 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:32 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:32 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:32 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:32 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:32 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:33 +0800] "GET /BookStore/Home_page/BookAdvice_detail.jsp?thisbookname=%E6%84%BF%E4%BD%A0%E8%BF%B7%E8%B7%AF%E5%88%B0%E6%88%91%E8%BA%AB%E6%97%81 HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:36 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:36 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:36 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:36 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:36 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:03:36 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:40 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:41 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:41 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:41 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:41 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:41 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:49 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:49 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:49 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:49 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:49 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:49 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:50 +0800] "GET /BookStore/Home_page/BookAdvice_detail.jsp?thisbookname=%E5%9F%8E%E5%8D%97%E6%97%A7%E4%BA%8B HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:52 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:52 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:52 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:52 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:52 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:04:52 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:06:32 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:06:37 +0800] "GET /BookStore/Home_page/Alert.jsp HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:06:39 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:06:39 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:06:39 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:06:39 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:06:39 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:06:39 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
